Sentiment	SentimentText
-1	vera' technic prowess end up sell hi film short ; he smooth over hard truth even he uncov them 
1	 it' testament film' consider charm succe entertain despit plai out like feature-length sitcom replet stereotyp famili quandari there' sheer unbridl delight wai stori unfurl 
1	percept good-natur movi 
-1	go girl right down realiti drain 
-1	concentr far too much awkward interplai utter lack chemistri between chan hewitt 
-1	film so bad doesn't improv upon experi stare blank screen 
-1	anim mere serv up predict maudlin stori swipe heavili bambi lion king yet lack emot reson either those movi 
1	though particular interest student enthusiast intern danc world music film design make viewer all ag cultur background rhythmic abil want get up danc 
1	movi will sure profan polit charg music ear cho' fan 
-1	decent but dull 
-1	wake save privat ryan black hawk down we soldier you like heartili sick mayhem cage' war-weari marin 
-1	[swimfan] fall victim sloppi plot insultingli unbeliev final act villai who too crazi interest 
1	ask noth audienc other sit back enjoi coupl great actor ham up 
1	while story' undeni hard follow iwai' gorgeou visual seduc 
1	 best disnei movi sinc lion king 
1	it' sweet cinderella stori pretti woman want 
1	while stori doe seem pretti unbeliev time it' awfulli entertain watch 
1	it' still adam sandler it' not littl nicki mani us that' good enough 
-1	i like no i hate no i love hell i dunno 
1	film just might turn mani peopl opera gener art form onc viscer spiritu wonderfulli vulgar sublim lofti -- emotion grand life 
-1	passabl entertain but also mechan joyless 
1	thought unflinch examin altern lifestyl sex stranger success 
-1	film about action ultim x gabbiest giant-screen movi ever bog down barrag hype 
-1	stand it' opera movi buff 
-1	it' hard imagin ani recent film independ otherwis make much mess on 
1	good documentari make interest subject you thought would leav you cold case point : doug pray' scratch 
1	work astonish delicaci forc 
1	 extrem op exce expect good fun good action good act good dialogu good pace good cinematographi 
-1	inconsequenti bare bit piffl 
-1	film present classic moral-condundrum drama : what would you have done surviv ? problem film whether these ambit laudabl themselv justifi theatric simul death camp auschwitz ii-birkenau 
-1	veri averag scienc fiction film 
1	 funni wai make you ach sad ( wai chekhov funni ) profound without ever be self-import warm without ever succumb sentiment 
-1	mariah carei give us anoth peek some magic we saw glitter here wisegirl 
-1	throw smoochi train ! 
-1	film wasn't preachi but femin book 
-1	on regard reign fire aw what vast enterpris ha marshal servic such minut idea 
-1	ill-conceiv expens project wind up look like bunch talent thesp slum 
-1	shanghai ghetto should applaud find new angl tireless stori but you might want think twice befor book passag 
1	on [jaglom's] better effort -- wry sometim bitter movi about love 
1	mai scream low budget but charmer ha spirit cannot deni 
1	randi film about sexi peopl gorgeou place be push pull ( liter figur ) desir [sex lucia] make arous good time 
1	affirm gift all involv start spielberg go right through rank player -- on-camera off -- he bring togeth 
1	while gener audienc might not come awai greater knowledg fact cuban music they'll treat impress highli entertain celebr it sound 
1	tender piec still intact 
1	fantast vital movi manag invest real humor sensual sympathi stori about two adolesc boi 
1	charm funni stori clash cultur clash mother/daught relationship 
-1	nightmar date half-form wit done great disservic lack critic distanc sad trust liber art colleg bumper sticker platitud 
-1	movi seem have written us mad-lib no other explan hilari inept ridicul 
1	kickass dens sci-fi action thriller hybrid deliv then some i haven't seen on so long no wonder i didn't recogn first 
-1	film tri too hard funni tri too hard hip end result film that' neither 
1	i'v never bought telemarket but i bought movi 
1	leigh' dare here without onc deni hardscrabbl live peopl econom fring margaret thatcher' ruinou legaci he insist import those moment peopl connect express their love each other 
1	poignant japanes epic about adolesc anomi heartbreak 
1	film center tradit indian wed contemporari new delhi mai not sound like special fare but mira nair' film absolut delight all audienc 
-1	 piti slapdash disast doa dud frame on 
-1	ultim frustrat patchwork : uneasi marriag loui begley' sourc novel ( about schmidt ) old payn screenplai 
1	not strike against yang' similarli theme yi yi but i found what time ? more engag emot level funnier whole less detach 
-1	crush could worst film man ha made about women sinc vallei doll 
1	mai not have dramat gut-wrench impact other holocaust film but it' compel stori mainli becaus wai it' told peopl who 
-1	home alon goe hollywood funni premis until kid start pull off stunt not even steven spielberg would know how do besid real movi produc aren't nice 
1	[westbrook] make wonder subject camera 
1	none hi actor stand out but that' less problem here would anoth film : character matter less atmospher 
-1	great piti those respons didn't cut their loss � our � retitl adventur direct-to-video nash send it proper home 
-1	formula 51 ha dull your sens faster deeper ani recreat drug market 
-1	did we realli need remak charad ? 
-1	film end i felt tire drain want lie my own deathb while 
-1	movi end outtak most charact forget their line just utter 'uhhh ' better most write movi 
-1	turgid littl histori lesson humourless dull 
1	deserv seen anyon even pass interest event shape world beyond their own horizon 
1	straightforward old-fashion best possibl sens both those word possess movi put itself squar servic lover who inhabit 
-1	despit it dry wit compass film suffer philosoph empti maddeningli sedat pace 
1	filmmak staci peralta ha flashi edit style doesn't alwai jell sean penn' monoton narrat but he respect materi without sentiment 
-1	attempt courag even if result wildli uneven 
1	assur glossi shot through brittl desper 
1	overcom it visual hideous sharp script strong perform 
1	 begin high note sustain beautifulli 
